Country,Longitude,Latitude,projects,description,category
Afghanistan,67.709953,33.93911,Process Evaluation of the South Asia Regional Trade and Integration Programme SARTIP (DFID),"SARTIP covers 11 countries across Central and South Asia, and three major sectors: energy connectivity; trade in goods and services; and regional FDI. Programme activities fall into two principal areas: investment preparation and policy reform.","Policy & Negotiations, impact Assessment"
Angola,17.873887,-11.202692,Regional Economic Integration Support (REIS) Programme (EU),"The Overall Objective of the Programme is to promote economic growth and reduce poverty in the SADC Region. 
The Specific Objective of the Programme is to create the enabling environment through the SADC Secretariat to enhance the movement of goods and services within SADC, facilitate investment, and secure WTO compatible market access arrangements between SADC EPA countries and the EU.",E-Commerce / Digital Trade
Angola,17.873887,-11.202692,"Reviewing the SADC Monitoring, Reporting and Evaluation System for the SADC Protocol on Trade (GIZ)","The Monitoring, Reporting and Evaluation (MRE) System for the SADC Protocol on Trade was adopted by the Committee of Ministers of Trade in July 2014 and its implementation commenced immediately thereafter. The System was developed as part of implementation of the SADC Policy on Strategy Development, Planning, Monitoring and Evaluation (SPME) which was approved by the Council of Ministers in Luanda, Angola in February 2012. In line with the technical guidelines of the MRE, the Overall Objective of the project is to conduct the first review of the system, including all functions, tools and the reporting cycle.",Impact Assessment
Australia,133.775136,-25.274398,Development of a Monitoring and Evaluation Framework for Political Regional Treaties on Trade (Pacific Islands Forum Secretariat),"The Overall Objective of the project is to develop a dynamic and evolving Pacific-specific monitoring and evaluation (M&E) framework that tracks and monitors, as well as identifies how both the region and individual countries are doing on regional economic integration overall (in terms of implementation progress and changes overtime) and by priority areas.",Impact Assessment
Azerbaijan,47.576927,40.143105,Eastern Partnership: Ready to Trade - an EU4Business Initiative (EC),The overall objective of the project is to help small and medium-sized enterprises (SMEs) from Eastern Partnership countries integrate into global value chains and access new markets with a focus on the European Union (EU).,"Impact Assessment, Export promotion & strategy, Asia"
Bangladesh,90.356331,23.684994,Process Evaluation of the South Asia Regional Trade and Integration Programme SARTIP (DFID),"SARTIP covers 11 countries across Central and South Asia, and three major sectors: energy connectivity; trade in goods and services; and regional FDI. Programme activities fall into two principal areas: investment preparation and policy reform.","Policy & Negotiations, impact Assessment"
Belarus,27.953389,53.709807,Support to the Ministry of Economy of the Republic of Belarus on Trade Policy Modelling (EC),The overall aim of the assignment was to examine the tools of trade policy analysis and improve the use of research skills in trade policy modelling analysis among governmental authorities involved in policymaking.,Policy & Negotiations
Belgium,4.469936,50.503887,"Training Programme on ""Effective Design of Trade and Private Sector Development Support (EC)","The overall aim of the assignment was to assist DEVCO.C4 in the organisation and delivery of the training programme on Trade and Private Sector Development (TPSD) for EU staff, both at Headquarters and in Delegations in third countries, with a view to enable the Commission to improve the quality and effectiveness of its external assistance in the fields of TRA and PSD.",Export promotion & strategy
Bhutan,90.433601,27.514162,Process Evaluation of the South Asia Regional Trade and Integration Programme SARTIP (DFID),"SARTIP covers 11 countries across Central and South Asia, and three major sectors: energy connectivity; trade in goods and services; and regional FDI. Programme activities fall into two principal areas: investment preparation and policy reform.","Policy & Negotiations, impact Assessment"
Botswana,24.684866,-22.328474,Development of an Action Plan for Capacity Building of the Trade Facilitation Advisory Group and the National Committee on Trade Policy and Negotiations (NCTPN) (EDF/CDE),"The objective of the assignment was to design the Trade Capacity Building Action Plan, which will contribute to enhance the ability of the Trade Facilitation Advisory Group (TFAG) and the National Committee on Trade Policy and Negotiations (NCTPN) to effectively and efficiently coordinate trade policy formulation and national negotiating positions.",Policy & Negotiations
Botswana,24.684866,-22.328474,"Draft the National Quality Policy in Botswana, Strengthen its QI Institutions and Support Economic Operators/Exporters to comply with WTO/TBT Requirements (EDF/ACP TBT Programme)","The overall objective of the project is to strengthen the Quality Infrastructure institutions in Botswana and support economic operators/exporters to comply with WTO/TBT requirements.   
The purpose of this contract is as follows: 
Support the development of a National Quality Policy  
To upgrade the existing capacities of the Botswana Bureau of Standards as national lead actor in the field of QI, and as service provider for exporters and private sector operators 
To enhance the capacities of service providers able to locally support the process of certification for SMEs",Policy & Negotiations
Botswana,24.684866,-22.328474,Regional Economic Integration Support (REIS) Programme (EU),"The Overall Objective of the Programme is to promote economic growth and reduce poverty in the SADC Region. 
The Specific Objective of the Programme is to create the enabling environment through the SADC Secretariat to enhance the movement of goods and services within SADC, facilitate investment, and secure WTO compatible market access arrangements between SADC EPA countries and the EU.",E-Commerce / Digital Trade
Botswana,24.684866,-22.328474,"Reviewing the SADC Monitoring, Reporting and Evaluation System for the SADC Protocol on Trade (GIZ)","The Monitoring, Reporting and Evaluation (MRE) System for the SADC Protocol on Trade was adopted by the Committee of Ministers of Trade in July 2014 and its implementation commenced immediately thereafter. The System was developed as part of implementation of the SADC Policy on Strategy Development, Planning, Monitoring and Evaluation (SPME) which was approved by the Council of Ministers in Luanda, Angola in February 2012. In line with the technical guidelines of the MRE, the Overall Objective of the project is to conduct the first review of the system, including all functions, tools and the reporting cycle.",Impact Assessment
