"Country_Region","Last_Update","Confirmed","Deaths","Recovered","Active"
"Afghanistan",2020-04-01,237,4,5,228
"Afghanistan",2020-04-02,273,6,10,257
"Afghanistan",2020-04-03,281,6,10,265
"Afghanistan",2020-04-04,299,7,10,282
"Afghanistan",2020-04-05,349,7,15,327
"Afghanistan",2020-04-06,367,11,18,338
"Afghanistan",2020-04-07,423,14,18,391
"Afghanistan",2020-04-08,444,14,29,401
"Afghanistan",2020-04-09,484,15,32,437
"Afghanistan",2020-04-10,521,15,32,474
"Afghanistan",2020-04-11,555,18,32,505
"Afghanistan",2020-04-12,607,18,32,557
"Afghanistan",2020-04-13,665,21,32,612
"Afghanistan",2020-04-14,714,23,40,651
"Afghanistan",2020-04-15,784,25,43,716
"Afghanistan",2020-04-16,840,30,54,756
"Albania",2020-04-01,259,15,67,177
"Albania",2020-04-02,277,16,76,185
"Albania",2020-04-03,304,17,89,198
"Albania",2020-04-04,333,20,99,214
"Albania",2020-04-05,361,20,104,237
"Albania",2020-04-06,377,21,116,240
"Albania",2020-04-07,383,22,131,230
"Albania",2020-04-08,400,22,154,224
"Albania",2020-04-09,409,23,165,221
"Albania",2020-04-10,416,23,182,211
"Albania",2020-04-11,433,23,197,213
"Albania",2020-04-12,446,23,217,206
"Albania",2020-04-13,467,23,232,212
"Albania",2020-04-14,475,24,248,203
"Albania",2020-04-15,494,25,251,218
"Albania",2020-04-16,518,26,277,215
"Algeria",2020-04-01,847,58,61,728
"Algeria",2020-04-02,986,86,61,839
"Algeria",2020-04-03,1171,105,62,1004
"Algeria",2020-04-04,1251,130,90,1031
"Algeria",2020-04-05,1320,152,90,1078
"Algeria",2020-04-06,1423,173,90,1160
"Algeria",2020-04-07,1468,193,113,1162
"Algeria",2020-04-08,1572,205,237,1130
"Algeria",2020-04-09,1666,235,347,1084
"Algeria",2020-04-10,1761,256,405,1100
"Algeria",2020-04-11,1825,275,460,1090
"Algeria",2020-04-12,1914,293,591,1030
"Algeria",2020-04-13,1983,313,601,1069
"Algeria",2020-04-14,2070,326,691,1053
"Algeria",2020-04-15,2160,336,708,1116
"Algeria",2020-04-16,2268,348,783,1137
"Andorra",2020-04-01,390,14,10,366
"Andorra",2020-04-02,428,15,10,403
"Andorra",2020-04-03,439,16,16,407
"Andorra",2020-04-04,466,17,21,428
"Andorra",2020-04-05,501,18,26,457
"Andorra",2020-04-06,525,21,31,473
"Andorra",2020-04-07,545,22,39,484
"Andorra",2020-04-08,564,23,52,489
"Andorra",2020-04-09,583,25,58,500
"Andorra",2020-04-10,601,26,71,504
"Andorra",2020-04-11,601,26,71,504
"Andorra",2020-04-12,638,29,128,481
"Andorra",2020-04-13,646,29,128,489
"Andorra",2020-04-14,659,31,128,500
